pl_name,pl_radj,pl_bmassj,pl_orbper,st_teff
WASP-186 b,1.11000000,4.22000000,5.02679900000,6361.00
TOI-2076 c,0.32959428,0.17304935,21.01532700000,5192.00
TOI-261.01,0.27136114,0.02990000,3.36392540000,5890.30
TOI-1054.01,0.21717586,0.02050000,15.50778550000,6122.00
HIP 29442 c,0.13837119,0.01415858,3.53795590000,5289.00
K2-117 c,0.18378089,0.01540000,5.44401700000,3778.00
HD 18742 b,1.17000000,3.40000000,766.00000000000,4940.00
Kepler-873 b,0.33455259,0.04260000,20.55338440000,6163.00
TOI-3837 b,0.97000000,0.59000000,11.88865000000,5905.00
K2-136 b,0.09046318,0.01352931,7.97520000000,4500.00
HAT-P-51 b,1.20500000,0.30700000,4.21802091000,5453.00
Kepler-1297 b,0.08653760,0.00274000,1.68189002000,5818.00
Kepler-80 f,0.10794897,14.03187979,0.98678730000,4540.00
Kepler-113 c,0.19400000,0.02737312,8.92507000000,4725.00
WASP-8 c,1.12000000,9.45000000,4323.00000000000,5690.00
Wendelstein-1 b,1.03140000,0.59200000,2.66341600000,4251.00
HATS-17 b,0.77700000,1.33800000,16.25461100000,5846.00
TOI-3894 b,1.36300000,0.82000000,4.33454000000,6000.00
Kepler-1016 b,0.19448657,0.01700000,1.95452434200,5821.00
WASP-68 b,1.32000000,1.08000000,5.08430000000,5910.00
HAT-P-56 b,1.51000000,2.31000000,2.79083000000,6566.00
TOI-6716 b,0.08760000,0.00287000,4.71858980000,3110.00
HD 191939 f,1.18000000,2.88000000,2898.00000000000,5348.00
HD 235088 b,0.17682250,0.01305736,7.43413250000,5075.00
HIP 55507 b,1.12000000,8.13500000,5138.43727000000,4171.00
WASP-79 b,1.53000000,0.85000000,3.66239200000,6600.00
HD 77946 b,0.25840541,0.03429524,6.52736300000,6007.00
TOI-1136 d,0.41279400,0.02627204,12.51990000000,5770.00
OGLE-2019-BLG-0299L b,1.14000000,6.22000000,,
TOI-199 c,1.01000000,0.28000000,273.69000000000,5255.00
TOI-500 e,0.35600000,0.04735260,61.30000000000,4440.00
Kepler-1651 b,0.16415380,0.01270000,9.87863917000,3713.00
Kepler-1354 b,0.26496565,0.02870000,76.61337700000,6168.00
HD 100546 b,6.90000000,8.50000000,,10500.00
HD 158996 b,1.10000000,14.00000000,820.20000000000,4069.00
Kepler-610 b,0.37380676,0.05140000,6.99692655400,5943.00
Kepler-1053 b,0.08742974,0.00284000,2.41435165400,4529.00
Kepler-1932 b,0.13514362,0.00914000,0.52417701500,5278.00
Kepler-340 c,0.30100000,0.03550000,22.82466900000,6620.00
Kepler-940 b,0.29797484,0.03500000,59.62252570000,5769.00
Kepler-524 c,0.08564546,0.00264000,1.88897906000,6014.00
Kepler-534 c,0.10946580,0.00637000,7.37868976600,5936.00
Kepler-647 b,0.10438041,0.00537000,16.22546490000,6020.00
GJ 317 c,1.21000000,1.43000000,6500.00000000000,3496.00
Kepler-130 b,0.09100000,0.00328000,8.45745800000,5884.00
Kepler-1955 b,0.10407269,0.00531000,14.26519966000,5825.00
K2-154 b,0.17753591,0.01450000,3.67626000000,4097.00
Kepler-1869 c,0.06601849,0.00104000,1.71682830400,5808.00
Kepler-537 b,0.12579177,0.00809000,3.24755521900,5763.00
Kepler-1546 b,0.27923990,0.03130000,19.59749710000,5623.00
